rep,roc_auc,pr_auc,brier,log_loss
244,0.5006993006993007,0.10521848493175523,0.13619603944089342,0.44308299062549744
245,0.5062937062937063,0.10742207143970733,0.13729755457742107,0.4468263301968816
246,0.5174825174825175,0.1109467294519135,0.13117835907008182,0.4333961013518019
247,0.45874125874125876,0.0963138609310783,0.1490474611150974,0.4714360152083177
248,0.49790209790209794,0.10598993331665399,0.13611878926240206,0.4450825553529469
249,0.4846153846153846,0.10292808224888908,0.13707454392792043,0.44754965057573265
250,0.47202797202797203,0.10092775530706359,0.13924297241413847,0.4503605716477378
251,0.49440559440559445,0.10342434793751332,0.14025460659418817,0.454264861735333
252,0.4727272727272727,0.0984909805699974,0.14617993166894638,0.46583038496999224
253,0.5013986013986014,0.10678426061948304,0.13573612200650406,0.4437272222168722
254,0.47902097902097907,0.10101786045195152,0.1347576252103138,0.44231321580029626
255,0.47062937062937066,0.09902118610620507,0.1438640529387234,0.4624080489901237
256,0.5104895104895105,0.10758298226427351,0.13229613175065869,0.43578288404288623
257,0.47482517482517483,0.09884642922069792,0.1434707675718655,0.45900256611932616
258,0.4825174825174825,0.10196210276126286,0.14036316194777346,0.45458632848733604
259,0.4433566433566434,0.0941710664116085,0.16819961132074934,0.510445928226057
260,0.48531468531468536,0.10187403639013878,0.14127915927613383,0.4558981291860904
261,0.4818181818181818,0.10184473605443536,0.14179453019629037,0.456384445086256
262,0.46573426573426574,0.09980793423109927,0.1422064382585702,0.45760635952963175
263,0.4489510489510489,0.0948096710636053,0.159765554662422,0.4937111942145728
264,0.513986013986014,0.11093077996071249,0.13246310603501596,0.4360807481621614
265,0.4524475524475524,0.09545414232498046,0.15036842124251898,0.4740065987592303
266,0.4832167832167832,0.10027636449649796,0.1383670538896889,0.4491771579271028
267,0.45104895104895104,0.09570559840399273,0.1451119715991266,0.462742143335133
268,0.493006993006993,0.10442085398669045,0.14074295975425888,0.45430184501385473
269,0.5048951048951049,0.1077909386517954,0.14221810149347697,0.45640124817774574
270,0.5020979020979022,0.10723953241276774,0.13463408432974594,0.44176094578227243
271,0.4811188811188811,0.10085275872547678,0.15030187201350168,0.47377222662852897
272,0.49090909090909096,0.10378524938284599,0.1270933901251019,0.4249383705744233
273,0.48531468531468536,0.1025017299466749,0.14212527594256452,0.4561262186914826
274,0.4769230769230769,0.09949032346223094,0.139794295547294,0.45322715320682483
275,0.4762237762237762,0.10098918483250338,0.14653783150226002,0.46722558373482415
276,0.5020979020979022,0.10382390334742055,0.13012204852468082,0.4312348675760691
277,0.479020979020979,0.09962263153627027,0.13520937895743243,0.44236754234762293
278,0.47342657342657346,0.10115667592424299,0.14061665367546608,0.4544226756073503
279,0.48671328671328673,0.10327474888910462,0.15867125496543943,0.489990506329316
280,0.4706293706293706,0.0981012348498596,0.14450309572753153,0.4630716504255579
